Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.277608e+01  3.401998e+00  2.209540e+05  0.000000e+00
5000          -3.997224e+00  1.438738e+01  1.991272e-03  8.368626e+00  4.805434e+08  6.243037e-01
10000         -4.128104e+00  1.369138e+01  8.773804e-04  4.958936e+00  8.681925e+08  6.911025e-01
15000         -4.209005e+00  1.361022e+01  4.520416e-04  3.155760e+00  1.205623e+09  7.465143e-01
20000         -4.251315e+00  1.356778e+01  2.341270e-04  2.221599e+00  1.542866e+09  7.777865e-01
25000         -4.273235e+00  1.354579e+01  1.211166e-04  1.737961e+00  1.880230e+09  7.977880e-01
30000         -4.284584e+00  1.353440e+01  6.270409e-05  1.487583e+00  2.217503e+09  8.117373e-01
35000         -4.290459e+00  1.352851e+01  3.242493e-05  1.357964e+00  2.554875e+09  8.219717e-01
40000         -4.293500e+00  1.352546e+01  1.680851e-05  1.290861e+00  2.892320e+09  8.297976e-01
45000         -4.295075e+00  1.352387e+01  8.702278e-06  1.256118e+00  3.229699e+09  8.360052e-01
50000         -4.295890e+00  1.352306e+01  4.529953e-06  1.238136e+00  3.566952e+09  8.410682e-01
