Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  7.258821e-01  2.282070e+07  0.000000e+00
5000          -9.575332e+00  8.980392e+01  2.447128e-03  1.792845e+00  6.748374e+10  8.891179e-01
10000         -9.558428e+00  8.975501e+01  1.108170e-03  2.256523e+00  1.349356e+11  8.893282e-01
15000         -9.552801e+00  8.929636e+01  6.885529e-04  2.621223e+00  2.022262e+11  8.901072e-01
20000         -9.550005e+00  8.818790e+01  5.493164e-04  2.940255e+00  2.695720e+11  8.903151e-01
25000         -9.548318e+00  8.654765e+01  4.882812e-04  3.224403e+00  3.369038e+11  8.904767e-01
30000         -9.547174e+00  8.458365e+01  4.577637e-04  3.481972e+00  4.042043e+11  8.906537e-01
35000         -9.546337e+00  8.246360e+01  4.425049e-04  3.721899e+00  4.715417e+11  8.907103e-01
40000         -9.545691e+00  8.029950e+01  4.348755e-04  3.944850e+00  5.388299e+11  8.908340e-01
45000         -9.545179e+00  7.815659e+01  4.272461e-04  4.155830e+00  6.061723e+11  8.908507e-01
50000         -9.544758e+00  7.607373e+01  4.119873e-04  4.348683e+00  6.734628e+11  8.909326e-01
